booking_id,passenger_id,flight_id,booking_date,status,seat_number
B1000,P1591,AI192,2025-06-14,CANCELLED,3D
B1001,P1803,6F026,2025-11-02,CANCELLED,18A
B1002,P1083,SJ010,2025-08-25,CANCELLED,30C
B1003,P1364,AI069,2025-12-30,CONFIRMED,33A
B1004,P1885,UK003,2025-10-02,PENDING,25C
B1005,P1548,AI048,2025-08-31,CONFIRMED,13D
B1006,P1341,AI140,2025-06-29,CANCELLED,17F
B1007,P1838,UK167,2026-03-12,CONFIRMED,22E
B1008,P1406,AI245,2025-09-07,PENDING,34F
B1009,P1424,SJ158,2025-04-28,CANCELLED,33C
B1010,P1743,AI155,2025-11-24,CONFIRMED,15B
B1011,P1092,AI179,2025-10-25,CONFIRMED,22C
B1012,P1847,AI137,2025-08-15,PENDING,28B
B1013,P1613,SJ001,2025-07-20,CONFIRMED,26E
B1014,P1411,SJ172,2025-09-15,PENDING,21E
B1015,P1431,UK094,2025-10-21,,6F
B1016,P1677,UK027,2026-01-13,CANCELLED,6A
B1017,P1158,UK067,2026-04-04,CONFIRMED,13B
B1018,P1013,6F196,2026-03-25,CANCELLED,19B
B1019,P1372,6F164,2025-07-31,CANCELLED,19A
B1020,P1224,SJ112,2025-12-06,CONFIRMED,27B
B1021,P1504,6F190,2025-12-07,CANCELLED,4E
B1022,P1072,AI080,2026-03-25,CONFIRMED,16F
B1023,P1248,6F213,2026-02-03,PENDING,24B
B1024,P1510,AI115,2025-06-21,PENDING,30F
B1025,P1602,SJ049,2026-03-18,PENDING,1B
B1026,P1215,AI058,2025-06-27,CONFIRMED,32C
B1027,P1972,UK036,2025-07-25,CONFIRMED,22A
B1028,P1601,SJ239,2025-05-25,CANCELLED,26E
B1029,P1540,6F025,2025-06-06,CANCELLED,19C
B1030,P1946,6F236,2026-03-18,CANCELLED,21E
B1031,P1816,AI060,2025-11-16,CANCELLED,1E
B1032,P1938,UK021,2025-09-03,CANCELLED,18E
B1033,P1987,UK026,2025-05-06,,19A
B1034,P1219,SJ179,2025-12-31,CONFIRMED,22F
B1035,P1839,6F251,2025-08-21,PENDING,11D
B1036,P1726,SJ149,2025-11-24,PENDING,5B
B1037,P1220,AI188,2026-03-20,PENDING,33E
B1038,P1388,SJ093,2026-01-01,PENDING,12D
B1039,P1553,SJ205,2025-08-21,CONFIRMED,11E
B1040,P1646,6F099,2025-08-08,CONFIRMED,26B
B1041,P1041,UK176,2025-05-28,CONFIRMED,25C
B1042,P1675,UK200,2025-12-02,CANCELLED,24F
B1043,P1872,6F195,2025-11-22,CANCELLED,8E
B1044,P1282,6F174,2026-04-12,PENDING,16C
B1045,P1057,SJ214,2026-03-19,,18C
B1046,P1813,UK059,2025-10-14,CONFIRMED,2C
B1047,P1833,6F151,2025-12-29,PENDING,7C
B1048,P1536,SJ236,2025-09-19,PENDING,18C
B1049,P1072,SJ153,2025-07-28,INVALID,3C
B1050,P1884,AI220,2026-01-15,PENDING,7D
B1051,P1922,6F028,2025-07-05,CANCELLED,16A
B1052,P1128,UK209,2025-12-30,CANCELLED,33B
B1053,P1598,UK216,2026-04-01,PENDING,28B
B1054,P1841,AI132,2026-04-11,CANCELLED,19C
B1055,P1425,6F012,2025-10-14,CANCELLED,13F
B1056,P1947,UK173,2026-03-24,CANCELLED,15B
B1057,P1664,SJ047,2025-08-20,CANCELLED,14F
B1058,P1693,SJ043,2025-12-07,PENDING,8C
B1059,P1124,UK140,2026-01-03,CONFIRMED,23B
B1060,P1066,6F086,2025-12-30,CONFIRMED,11A
B1061,P1005,6F114,2026-04-05,CANCELLED,19C
B1062,P1636,UK153,2025-06-12,CANCELLED,15D
B1063,P1313,6F149,2025-05-19,CANCELLED,9A
B1064,P1325,UK145,2025-09-14,CONFIRMED,24E
B1065,P1564,UK010,2026-03-06,CANCELLED,7B
B1066,P1577,SJ003,2025-11-05,PENDING,1B
B1067,P1825,SJ160,2025-07-23,PENDING,7F
B1068,P1505,UK224,2025-11-22,PENDING,23A
B1069,P1081,UK152,2025-08-02,CONFIRMED,16E
B1070,P1598,SJ034,2025-09-22,CANCELLED,15D
B1071,P1001,UK215,2025-12-21,CANCELLED,15F
B1072,P1203,UK089,2025-08-10,CANCELLED,18F
B1073,P1661,6F180,2025-12-04,CONFIRMED,16A
B1074,P1804,6F188,2025-09-25,CONFIRMED,7A
B1075,P1403,UK131,2026-01-03,CONFIRMED,2F
B1076,P1102,UK055,2025-05-04,CONFIRMED,12B
B1077,P1535,UK181,2025-05-03,PENDING,3A
B1078,P1367,6F077,2025-09-21,CONFIRMED,1B
B1079,P1211,SJ085,2025-06-03,CONFIRMED,10D
B1080,P1576,SJ023,2025-06-05,CONFIRMED,22D
B1081,P1960,SJ202,2025-11-13,CANCELLED,29C
B1082,P1208,SJ150,2025-09-09,CANCELLED,30A
B1083,P1762,SJ116,2025-05-12,CANCELLED,9A
B1084,P1896,6F270,2025-06-14,PENDING,16E
