payment_id,booking_id,amount,payment_method,source_key_missing
PAY1000,B1116,9883.49,NETBANKING,0
PAY1001,B1738,8457.96,NETBANKING,0
PAY1002,B1873,6495.37,UPI,0
PAY1003,B1914,5079.38,NETBANKING,0
PAY1004,B1967,12518.31,CARD,0
PAY1005,B1998,7319.71,CARD,0
PAY1006,B1544,8020.26,CARD,0
PAY1007,B1043,8291.6,UPI,0
PAY1008,B1508,7277.14,CARD,0
PAY1009,B1987,4585.24,CARD,0
PAY1010,B1164,2684.77,UPI,0
PAY1011,B1367,2379.52,CARD,0
PAY1012,B1856,11604.48,CARD,0
PAY1013,B1291,4129.39,NETBANKING,0
PAY1014,B1848,1779.42,UPI,0
PAY1015,B1855,12165.24,CARD,0
PAY1016,B1916,3156.86,CARD,0
PAY1017,B1897,9752.05,CARD,0
PAY1018,B1798,14793.78,CARD,0
PAY1019,B1875,8067.25,NETBANKING,0
PAY1020,B1736,6802.73,NETBANKING,0
PAY1021,B1285,1207.32,NETBANKING,0
PAY1022,B1203,12774.63,NETBANKING,0
PAY1023,B1683,8188.97,UPI,0
PAY1024,B1523,10733.84,CARD,0
PAY1025,B1818,4317.72,NETBANKING,0
PAY1026,B1120,1285.74,CARD,0
PAY1027,B1944,3644.17,UPI,0
PAY1028,B1755,4760.39,CARD,0
PAY1029,B1663,8481.4,CARD,0
PAY1030,B1663,12656.53,NETBANKING,0
PAY1031,B1187,6625.76,NETBANKING,0
PAY1032,B1906,11037.65,UPI,0
PAY1033,B1012,7900.8,CARD,0
PAY1034,B1602,4028.21,NETBANKING,0
PAY1035,B1199,12300.69,NETBANKING,0
PAY1036,B1585,11603.63,NETBANKING,0
PAY1037,B1767,5997.12,UPI,0
PAY1038,B1455,14853.28,CARD,0
PAY1039,B1447,4676.01,NETBANKING,0
PAY1040,B1787,4567.25,CARD,0
PAY1041,B1839,11811.63,UPI,0
PAY1042,B1840,7085.2,CARD,0
PAY1043,B1070,5631.13,NETBANKING,0
PAY1044,B1589,3501.28,CARD,0
PAY1045,B1795,11714.65,CARD,0
PAY1046,B1129,12008.51,UPI,0
PAY1047,B1888,8931.9,UPI,0
PAY1048,B1042,14402.39,CARD,0
PAY1049,B1519,5454.29,CARD,0
PAY1050,B1012,4074.67,CARD,0
PAY1051,B1724,10484.53,UPI,0
PAY1052,B1622,11617.72,UPI,0
PAY1053,B1987,4148.68,CARD,0
PAY1054,B1802,2072.55,UPI,0
PAY1055,B1534,12347.23,NETBANKING,0
PAY1056,B1301,14671.03,UPI,0
PAY1057,B1765,10025.41,UPI,0
PAY1058,B1526,4890.14,UPI,0
PAY1059,B1641,14953.42,NETBANKING,0
PAY1060,B1572,13849.86,NETBANKING,0
PAY1061,B1114,8187.33,NETBANKING,0
PAY1062,B1459,12554.5,CARD,0
PAY1063,B1831,12421.49,CARD,0
PAY1064,B1504,14087.19,NETBANKING,0
PAY1065,B1307,12772.93,CARD,0
PAY1066,B1931,10011.51,CARD,0
PAY1067,B1962,9530.25,CARD,0
PAY1068,B1324,7543.0,NETBANKING,0
PAY1069,B1578,2048.85,UPI,0
PAY1070,B1760,12133.03,NETBANKING,0
PAY1071,B1174,8264.08,NETBANKING,0
PAY1072,B1850,7542.02,CARD,0
PAY1073,B1513,9031.14,CARD,0
PAY1074,B1171,7227.28,UPI,0
PAY1075,B1996,10358.84,UPI,0
PAY1076,B1959,9818.89,UPI,0
PAY1077,B1501,13945.22,UPI,0
PAY1078,B1976,8576.26,NETBANKING,0
PAY1079,B1333,2238.82,UPI,0
PAY1080,B1283,1369.37,NETBANKING,0
PAY1081,B1474,12076.76,CARD,0
PAY1082,B1053,4621.1,UPI,0
PAY1083,B1457,5769.17,CARD,0
PAY1084,B1578,1897.18,CARD,0
PAY1085,B1419,3513.0,NETBANKING,0
PAY1086,B1613,11718.47,UPI,0
PAY1087,B1631,7909.43,NETBANKING,0
PAY1088,B1702,13329.36,CARD,0
PAY1089,B1408,6561.39,UPI,0
PAY1090,B1981,4761.81,CARD,0
PAY1091,B1303,5866.4,CARD,0
PAY1092,B1934,10978.81,UPI,0
PAY1093,B1558,8770.08,UPI,0
PAY1094,B1221,13658.68,UPI,0
PAY1095,B1532,9430.36,NETBANKING,0
PAY1096,B1157,7902.25,NETBANKING,0
PAY1097,B1347,12000.54,CARD,0
PAY1098,B1158,14265.47,UPI,0
PAY1099,B1888,5981.84,CARD,0
PAY1100,B1883,4498.27,CARD,0
PAY1101,B1921,9627.04,CARD,0
PAY1102,B1234,7984.22,CARD,0
PAY1103,B1661,14848.6,CARD,0
PAY1104,B1404,7473.06,UPI,0
PAY1105,B1256,2040.64,NETBANKING,0
PAY1106,B1676,14683.17,UPI,0
PAY1107,B1588,12810.22,UPI,0
PAY1108,B1596,3495.5,UPI,0
PAY1109,B1557,13664.47,NETBANKING,0
PAY1110,B1904,5769.34,NETBANKING,0
PAY1111,B1912,6279.57,NETBANKING,0
PAY1112,B1046,13689.48,UPI,0
PAY1113,B1212,8421.62,NETBANKING,0
PAY1114,B1478,2928.68,CARD,0
PAY1115,B1486,6166.79,NETBANKING,0
PAY1116,B1570,11109.36,UPI,0
PAY1117,B1565,3438.58,UPI,0
PAY1118,B1341,9263.24,CARD,0
PAY1119,B1523,10733.84,NETBANKING,0
PAY1120,B1703,5813.95,NETBANKING,0
PAY1121,B1502,10714.33,CARD,0
PAY1122,B1005,13378.9,UPI,0
PAY1123,B1820,7609.63,UPI,0
PAY1124,B1143,6360.73,NETBANKING,0
PAY1125,B1857,4516.22,NETBANKING,0
